Xmin: [-0.11355746]  Ymin: [0.01444254]  Zmin: [0.01310388]
Xmin: [-0.11355746]  Ymin: [0.01444254]  Zmin: [0.01310388]
Xmin: [-0.11355746]  Ymin: [0.01444254]  Zmin: [0.01310388]
Xmin: [-0.10768822]  Ymin: [0.02031178]  Zmin: [0.01200932]
Xmin: [-0.10709322]  Ymin: [0.02090678]  Zmin: [0.01190605]
Xmin: [-0.10700386]  Ymin: [0.02099614]  Zmin: [0.01189066]
Xmin: [-0.08736808]  Ymin: [0.04063192]  Zmin: [0.00928413]
Xmin: [-0.08736808]  Ymin: [0.04063192]  Zmin: [0.00928413]
Xmin: [-0.08736808]  Ymin: [0.04063192]  Zmin: [0.00928413]
Xmin: [-0.08736808]  Ymin: [0.04063192]  Zmin: [0.00928413]
Xmin: [-0.08605031]  Ymin: [0.04194969]  Zmin: [0.00916443]
